year,month,date,ipca_var_pct,ipca_index,deflator_to_2025_12
2015,1,2015-01-01,1.24,1.012400,1.801198
2015,2,2015-02-01,1.22,1.024751,1.779489
2015,3,2015-03-01,1.32,1.038278,1.756305
2015,4,2015-04-01,0.71,1.045650,1.743923
2015,5,2015-05-01,0.74,1.053388,1.731113
2015,6,2015-06-01,0.79,1.061709,1.717545
2015,7,2015-07-01,0.62,1.068292,1.706961
2015,8,2015-08-01,0.22,1.070642,1.703214
2015,9,2015-09-01,0.54,1.076424,1.694066
2015,10,2015-10-01,0.82,1.085250,1.680288
2015,11,2015-11-01,1.01,1.096211,1.663487
2015,12,2015-12-01,0.96,1.106735,1.647669
2016,1,2016-01-01,1.27,1.120791,1.627006
2016,2,2016-02-01,0.90,1.130878,1.612494
2016,3,2016-03-01,0.43,1.135740,1.605590
2016,4,2016-04-01,0.61,1.142668,1.595855
2016,5,2016-05-01,0.78,1.151581,1.583504
2016,6,2016-06-01,0.35,1.155612,1.577981
2016,7,2016-07-01,0.52,1.161621,1.569818
2016,8,2016-08-01,0.44,1.166732,1.562941
2016,9,2016-09-01,0.08,1.167665,1.561691
2016,10,2016-10-01,0.26,1.170701,1.557642
2016,11,2016-11-01,0.18,1.172809,1.554843
2016,12,2016-12-01,0.30,1.176327,1.550192
2017,1,2017-01-01,0.38,1.180797,1.544324
2017,2,2017-02-01,0.33,1.184694,1.539244
2017,3,2017-03-01,0.25,1.187655,1.535406
2017,4,2017-04-01,0.14,1.189318,1.533259
2017,5,2017-05-01,0.31,1.193005,1.528521
2017,6,2017-06-01,-0.23,1.190261,1.532045
2017,7,2017-07-01,0.24,1.193118,1.528376
2017,8,2017-08-01,0.19,1.195385,1.525478
2017,9,2017-09-01,0.16,1.197297,1.523041
2017,10,2017-10-01,0.42,1.202326,1.516671
2017,11,2017-11-01,0.28,1.205693,1.512436
2017,12,2017-12-01,0.44,1.210998,1.505811
2018,1,2018-01-01,0.29,1.214509,1.501457
2018,2,2018-02-01,0.32,1.218396,1.496667
2018,3,2018-03-01,0.09,1.219492,1.495321
2018,4,2018-04-01,0.22,1.222175,1.492039
2018,5,2018-05-01,0.40,1.227064,1.486095
2018,6,2018-06-01,1.26,1.242525,1.467603
2018,7,2018-07-01,0.33,1.246625,1.462776
2018,8,2018-08-01,-0.09,1.245503,1.464093
2018,9,2018-09-01,0.48,1.251482,1.457099
2018,10,2018-10-01,0.45,1.257113,1.450572
2018,11,2018-11-01,-0.21,1.254474,1.453624
2018,12,2018-12-01,0.15,1.256355,1.451447
2019,1,2019-01-01,0.32,1.260376,1.446817
2019,2,2019-02-01,0.43,1.265795,1.440623
2019,3,2019-03-01,0.75,1.275289,1.429898
2019,4,2019-04-01,0.57,1.282558,1.421794
2019,5,2019-05-01,0.13,1.284225,1.419948
2019,6,2019-06-01,0.01,1.284354,1.419806
2019,7,2019-07-01,0.19,1.286794,1.417114
2019,8,2019-08-01,0.11,1.288209,1.415557
2019,9,2019-09-01,-0.04,1.287694,1.416123
2019,10,2019-10-01,0.10,1.288982,1.414708
2019,11,2019-11-01,0.51,1.295556,1.407530
2019,12,2019-12-01,1.15,1.310454,1.391527
2020,1,2020-01-01,0.21,1.313206,1.388611
2020,2,2020-02-01,0.25,1.316489,1.385148
2020,3,2020-03-01,0.07,1.317411,1.384179
2020,4,2020-04-01,-0.31,1.313327,1.388484
2020,5,2020-05-01,-0.38,1.308336,1.393780
2020,6,2020-06-01,0.26,1.311738,1.390166
2020,7,2020-07-01,0.36,1.316460,1.385179
2020,8,2020-08-01,0.24,1.319620,1.381863
2020,9,2020-09-01,0.64,1.328065,1.373075
2020,10,2020-10-01,0.86,1.339487,1.361367
2020,11,2020-11-01,0.89,1.351408,1.349358
2020,12,2020-12-01,1.35,1.369652,1.331384
2021,1,2021-01-01,0.25,1.373076,1.328064
2021,2,2021-02-01,0.86,1.384885,1.316740
2021,3,2021-03-01,0.93,1.397764,1.304607
2021,4,2021-04-01,0.31,1.402097,1.300575
2021,5,2021-05-01,0.83,1.413735,1.289870
2021,6,2021-06-01,0.53,1.421227,1.283069
2021,7,2021-07-01,0.96,1.434871,1.270869
2021,8,2021-08-01,0.87,1.447355,1.259908
2021,9,2021-09-01,1.16,1.464144,1.245460
2021,10,2021-10-01,1.25,1.482446,1.230084
2021,11,2021-11-01,0.95,1.496529,1.218508
2021,12,2021-12-01,0.73,1.507454,1.209678
2022,1,2022-01-01,0.54,1.515594,1.203181
2022,2,2022-02-01,1.01,1.530901,1.191150
2022,3,2022-03-01,1.62,1.555702,1.172161
2022,4,2022-04-01,1.06,1.572192,1.159866
2022,5,2022-05-01,0.47,1.579582,1.154441
2022,6,2022-06-01,0.67,1.590165,1.146757
2022,7,2022-07-01,-0.68,1.579352,1.154609
2022,8,2022-08-01,-0.36,1.573666,1.158780
2022,9,2022-09-01,-0.29,1.569102,1.162150
2022,10,2022-10-01,0.59,1.578360,1.155334
2022,11,2022-11-01,0.41,1.584831,1.150616
2022,12,2022-12-01,0.62,1.594657,1.143527
2023,1,2023-01-01,0.53,1.603109,1.137498
2023,2,2023-02-01,0.84,1.616575,1.128022
2023,3,2023-03-01,0.71,1.628053,1.120070
2023,4,2023-04-01,0.61,1.637984,1.113279
2023,5,2023-05-01,0.23,1.641751,1.110724
2023,6,2023-06-01,-0.08,1.640438,1.111614
2023,7,2023-07-01,0.12,1.642406,1.110281
2023,8,2023-08-01,0.23,1.646184,1.107733
2023,9,2023-09-01,0.26,1.650464,1.104861
2023,10,2023-10-01,0.24,1.654425,1.102216
2023,11,2023-11-01,0.28,1.659058,1.099138
2023,12,2023-12-01,0.56,1.668348,1.093017
2024,1,2024-01-01,0.42,1.675355,1.088446
2024,2,2024-02-01,0.83,1.689261,1.079486
2024,3,2024-03-01,0.16,1.691964,1.077761
2024,4,2024-04-01,0.38,1.698393,1.073681
2024,5,2024-05-01,0.46,1.706206,1.068765
2024,6,2024-06-01,0.21,1.709789,1.066525
2024,7,2024-07-01,0.38,1.716286,1.062488
2024,8,2024-08-01,-0.02,1.715943,1.062701
2024,9,2024-09-01,0.44,1.723493,1.058045
2024,10,2024-10-01,0.56,1.733144,1.052153
2024,11,2024-11-01,0.39,1.739904,1.048066
2024,12,2024-12-01,0.52,1.748951,1.042644
2025,1,2025-01-01,0.16,1.751749,1.040978
2025,2,2025-02-01,1.31,1.774697,1.027518
2025,3,2025-03-01,0.56,1.784636,1.021796
2025,4,2025-04-01,0.43,1.792310,1.017421
2025,5,2025-05-01,0.26,1.796970,1.014782
2025,6,2025-06-01,0.24,1.801282,1.012353
2025,7,2025-07-01,0.26,1.805966,1.009727
2025,8,2025-08-01,-0.11,1.803979,1.010839
2025,9,2025-09-01,0.48,1.812638,1.006011
2025,10,2025-10-01,0.09,1.814270,1.005106
2025,11,2025-11-01,0.18,1.817535,1.003300
2025,12,2025-12-01,0.33,1.823533,1.000000
